Date,Close
31-Jan-26,"Rp 41,012,747.17"
30-Jan-26,"Rp 45,328,291.11"
29-Jan-26,"Rp 47,312,350.38"
28-Jan-26,"Rp 50,334,528.46"
27-Jan-26,"Rp 50,413,197.21"
26-Jan-26,"Rp 48,991,817.15"
25-Jan-26,"Rp 47,334,747.48"
24-Jan-26,"Rp 49,472,349.14"
23-Jan-26,"Rp 49,548,111.60"
22-Jan-26,"Rp 49,633,480.64"
21-Jan-26,"Rp 50,354,600.62"
20-Jan-26,"Rp 49,820,752.06"
19-Jan-26,"Rp 54,001,913.56"
18-Jan-26,"Rp 55,451,549.66"
17-Jan-26,"Rp 55,949,914.59"
16-Jan-26,"Rp 55,723,638.16"
15-Jan-26,"Rp 56,028,494.76"
14-Jan-26,"Rp 56,551,902.33"
13-Jan-26,"Rp 55,998,403.69"
12-Jan-26,"Rp 52,182,525.44"
11-Jan-26,"Rp 52,486,424.54"
10-Jan-26,"Rp 51,915,718.27"
9-Jan-26,"Rp 51,926,682.76"
8-Jan-26,"Rp 52,193,518.20"
7-Jan-26,"Rp 53,076,305.87"
6-Jan-26,"Rp 55,203,842.36"
5-Jan-26,"Rp 54,016,229.05"
4-Jan-26,"Rp 52,459,285.46"
3-Jan-26,"Rp 52,210,638.23"
2-Jan-26,"Rp 52,185,669.46"
1-Jan-26,"Rp 50,031,574.42"
31-Dec-25,"Rp 49,529,994.88"
30-Dec-25,"Rp 49,700,212.39"
29-Dec-25,"Rp 49,232,749.96"
28-Dec-25,"Rp 49,454,527.24"
27-Dec-25,"Rp 49,444,711.53"
26-Dec-25,"Rp 49,071,484.47"
25-Dec-25,"Rp 48,664,283.34"
24-Dec-25,"Rp 49,278,122.08"
23-Dec-25,"Rp 49,612,661.26"
22-Dec-25,"Rp 50,405,543.94"
21-Dec-25,"Rp 50,149,298.27"
20-Dec-25,"Rp 49,792,702.97"
19-Dec-25,"Rp 49,723,177.28"
18-Dec-25,"Rp 47,203,853.82"
17-Dec-25,"Rp 47,217,619.17"
16-Dec-25,"Rp 49,345,017.98"
15-Dec-25,"Rp 49,360,466.26"
14-Dec-25,"Rp 50,934,923.68"
13-Dec-25,"Rp 51,842,332.36"
12-Dec-25,"Rp 51,301,357.65"
11-Dec-25,"Rp 53,917,340.36"
10-Dec-25,"Rp 55,354,215.66"
9-Dec-25,"Rp 55,359,665.88"
8-Dec-25,"Rp 52,169,713.21"
7-Dec-25,"Rp 51,036,436.88"
6-Dec-25,"Rp 50,739,701.00"
5-Dec-25,"Rp 50,476,423.52"
4-Dec-25,"Rp 52,220,532.29"
3-Dec-25,"Rp 52,984,314.62"
2-Dec-25,"Rp 49,815,115.22"
1-Dec-25,"Rp 46,525,754.70"
30-Nov-25,"Rp 49,811,172.55"
29-Nov-25,"Rp 49,805,126.68"
28-Nov-25,"Rp 50,481,350.82"
27-Nov-25,"Rp 50,150,830.54"
26-Nov-25,"Rp 50,364,926.45"
25-Nov-25,"Rp 49,220,798.52"
24-Nov-25,"Rp 49,176,245.45"
23-Nov-25,"Rp 46,759,224.30"
22-Nov-25,"Rp 46,140,442.28"
21-Nov-25,"Rp 46,108,630.47"
20-Nov-25,"Rp 47,398,017.34"
19-Nov-25,"Rp 50,503,722.96"
18-Nov-25,"Rp 52,261,024.89"
17-Nov-25,"Rp 50,648,626.52"
16-Nov-25,"Rp 51,695,632.81"
15-Nov-25,"Rp 52,951,822.61"
14-Nov-25,"Rp 51,870,465.16"
13-Nov-25,"Rp 54,072,075.63"
12-Nov-25,"Rp 57,119,845.61"
11-Nov-25,"Rp 57,041,703.29"
10-Nov-25,"Rp 59,579,928.81"
9-Nov-25,"Rp 59,803,804.30"
8-Nov-25,"Rp 56,736,973.08"
7-Nov-25,"Rp 57,319,717.10"
6-Nov-25,"Rp 55,318,348.96"
5-Nov-25,"Rp 57,118,836.12"
4-Nov-25,"Rp 55,032,089.50"
3-Nov-25,"Rp 60,062,363.45"
2-Nov-25,"Rp 65,076,145.14"
1-Nov-25,"Rp 64,456,997.93"
31-Oct-25,"Rp 64,005,991.42"
30-Oct-25,"Rp 63,287,276.03"
29-Oct-25,"Rp 64,673,950.21"
28-Oct-25,"Rp 66,044,828.06"
27-Oct-25,"Rp 67,703,078.77"
26-Oct-25,"Rp 69,082,429.64"
25-Oct-25,"Rp 65,657,468.20"
24-Oct-25,"Rp 65,343,523.26"
23-Oct-25,"Rp 64,011,193.42"
22-Oct-25,"Rp 63,226,635.32"
21-Oct-25,"Rp 64,377,159.98"
20-Oct-25,"Rp 65,879,392.25"
19-Oct-25,"Rp 66,039,851.26"
18-Oct-25,"Rp 64,473,345.71"
17-Oct-25,"Rp 63,515,657.91"
16-Oct-25,"Rp 64,531,990.75"
15-Oct-25,"Rp 66,120,803.70"
14-Oct-25,"Rp 68,432,318.92"
13-Oct-25,"Rp 70,283,560.77"
12-Oct-25,"Rp 69,149,082.00"
11-Oct-25,"Rp 62,277,404.23"
10-Oct-25,"Rp 63,811,623.83"
9-Oct-25,"Rp 72,453,510.87"
8-Oct-25,"Rp 74,991,775.91"
7-Oct-25,"Rp 73,859,740.10"
6-Oct-25,"Rp 77,834,585.57"
5-Oct-25,"Rp 74,799,999.32"
4-Oct-25,"Rp 74,364,898.89"
3-Oct-25,"Rp 74,773,133.71"
2-Oct-25,"Rp 74,559,677.27"
1-Oct-25,"Rp 72,450,590.03"
30-Sep-25,"Rp 69,196,034.46"
29-Sep-25,"Rp 70,155,026.45"
28-Sep-25,"Rp 69,285,669.48"
27-Sep-25,"Rp 67,022,981.13"
26-Sep-25,"Rp 67,310,335.37"
25-Sep-25,"Rp 64,858,423.03"
24-Sep-25,"Rp 69,368,713.88"
23-Sep-25,"Rp 69,325,023.64"
22-Sep-25,"Rp 69,718,385.38"
21-Sep-25,"Rp 74,085,898.15"
20-Sep-25,"Rp 74,601,708.11"
19-Sep-25,"Rp 74,412,826.14"
18-Sep-25,"Rp 76,084,793.09"
17-Sep-25,"Rp 75,555,056.67"
16-Sep-25,"Rp 73,907,998.84"
15-Sep-25,"Rp 74,110,837.65"
14-Sep-25,"Rp 75,634,830.07"
13-Sep-25,"Rp 76,595,027.26"
12-Sep-25,"Rp 77,367,289.93"
11-Sep-25,"Rp 73,259,250.92"
10-Sep-25,"Rp 71,528,272.88"
9-Sep-25,"Rp 70,913,466.30"
8-Sep-25,"Rp 70,988,415.66"
7-Sep-25,"Rp 70,603,015.94"
6-Sep-25,"Rp 70,006,528.47"
5-Sep-25,"Rp 70,542,879.61"
4-Sep-25,"Rp 70,754,105.84"
3-Sep-25,"Rp 73,301,466.46"
2-Sep-25,"Rp 71,160,269.99"
1-Sep-25,"Rp 70,919,539.12"
31-Aug-25,"Rp 72,044,870.11"
30-Aug-25,"Rp 71,807,195.38"
29-Aug-25,"Rp 71,577,361.78"
28-Aug-25,"Rp 73,710,158.36"
27-Aug-25,"Rp 73,614,711.12"
26-Aug-25,"Rp 75,028,129.71"
25-Aug-25,"Rp 71,167,096.16"
24-Aug-25,"Rp 77,592,245.32"
23-Aug-25,"Rp 77,532,662.74"
22-Aug-25,"Rp 78,429,699.49"
21-Aug-25,"Rp 69,041,245.84"
20-Aug-25,"Rp 70,578,669.90"
19-Aug-25,"Rp 66,330,458.00"
18-Aug-25,"Rp 69,941,499.99"
17-Aug-25,"Rp 72,481,579.43"
16-Aug-25,"Rp 71,717,399.59"
15-Aug-25,"Rp 71,941,135.83"
14-Aug-25,"Rp 73,571,143.34"
13-Aug-25,"Rp 76,652,235.29"
12-Aug-25,"Rp 74,632,832.50"
11-Aug-25,"Rp 68,926,615.10"
10-Aug-25,"Rp 69,156,987.44"
9-Aug-25,"Rp 69,309,490.64"
8-Aug-25,"Rp 65,184,506.23"
7-Aug-25,"Rp 63,830,063.84"
6-Aug-25,"Rp 60,247,206.33"
5-Aug-25,"Rp 59,186,387.93"
4-Aug-25,"Rp 60,874,222.88"
3-Aug-25,"Rp 57,670,746.88"
2-Aug-25,"Rp 55,532,219.48"
1-Aug-25,"Rp 57,097,399.15"
31-Jul-25,"Rp 60,957,617.75"
30-Jul-25,"Rp 62,628,923.16"
29-Jul-25,"Rp 62,119,341.78"
28-Jul-25,"Rp 62,138,778.45"
27-Jul-25,"Rp 63,398,879.08"
26-Jul-25,"Rp 61,208,491.98"
25-Jul-25,"Rp 60,977,340.94"
24-Jul-25,"Rp 60,489,100.52"
23-Jul-25,"Rp 59,064,713.81"
22-Jul-25,"Rp 60,954,356.32"
21-Jul-25,"Rp 61,478,432.79"
20-Jul-25,"Rp 61,384,398.23"
19-Jul-25,"Rp 58,704,527.29"
18-Jul-25,"Rp 57,949,224.50"
17-Jul-25,"Rp 56,808,397.15"
16-Jul-25,"Rp 54,915,003.99"
15-Jul-25,"Rp 51,091,029.53"
14-Jul-25,"Rp 49,021,493.12"
13-Jul-25,"Rp 48,255,857.40"
12-Jul-25,"Rp 47,761,690.54"
11-Jul-25,"Rp 48,004,718.27"
10-Jul-25,"Rp 47,915,917.79"
9-Jul-25,"Rp 45,024,237.03"
8-Jul-25,"Rp 42,549,047.69"
7-Jul-25,"Rp 41,529,695.07"
6-Jul-25,"Rp 41,615,669.21"
5-Jul-25,"Rp 40,783,826.23"
4-Jul-25,"Rp 40,641,871.20"
3-Jul-25,"Rp 42,056,239.67"
2-Jul-25,"Rp 41,598,551.37"
1-Jul-25,"Rp 38,168,023.70"
30-Jun-25,"Rp 40,153,377.23"
29-Jun-25,"Rp 40,606,094.66"
28-Jun-25,"Rp 39,559,711.17"
27-Jun-25,"Rp 39,344,753.60"
26-Jun-25,"Rp 39,234,971.47"
25-Jun-25,"Rp 39,508,183.11"
24-Jun-25,"Rp 39,877,574.73"
23-Jun-25,"Rp 39,820,855.78"
22-Jun-25,"Rp 36,627,265.83"
21-Jun-25,"Rp 37,766,218.22"
20-Jun-25,"Rp 39,519,648.32"
19-Jun-25,"Rp 40,274,591.60"
18-Jun-25,"Rp 41,211,746.79"
17-Jun-25,"Rp 41,035,885.83"
16-Jun-25,"Rp 41,356,858.48"
15-Jun-25,"Rp 41,506,143.85"
14-Jun-25,"Rp 41,287,876.88"
13-Jun-25,"Rp 42,038,226.99"
12-Jun-25,"Rp 43,031,859.63"
11-Jun-25,"Rp 45,096,477.33"
10-Jun-25,"Rp 45,666,982.17"
9-Jun-25,"Rp 43,710,071.04"
8-Jun-25,"Rp 40,965,849.12"
7-Jun-25,"Rp 41,223,346.28"
6-Jun-25,"Rp 40,418,777.54"
5-Jun-25,"Rp 39,279,259.40"
4-Jun-25,"Rp 42,514,229.40"
3-Jun-25,"Rp 42,374,069.78"
